formula,auc_roc,auc_pr,precision,recall,f1,f2,precision_at_recall_25,precision_at_recall_50,precision_at_recall_75,num_features
((((((((((sqrt(abs(lym_pct))) - ((neut_pct**2))) - (rdw)) + ((wbc**2))) / (abs((mchc**2))+1e-6)) / (abs(sqrt(abs(eos_pct)))+1e-6)) + (log(abs(rbc)+1))) - ((mch**2))) / (abs((mcv**2))+1e-6)) + (hct)) / (abs(sqrt(abs(mono_pct)))+1e-6),0.6411,0.0312,0.0088,0.4889,0.0174,0.0412,0.0069,0.0095,0.0075,11
(((((((((((((neut_pct) - (mch)) + (sqrt(abs(lym_pct)))) - (hct)) / (abs(sqrt(abs(mono_pct)))+1e-6)) - (log(abs(baso_pct)+1))) + (log(abs(mcv)+1))) + ((rbc**2))) - ((plt**2))) + (mchc)) + (sqrt(abs(eos_pct)))) + (sqrt(abs(rdw)))) * (sqrt(abs(wbc)))) * (hgb),0.5207,0.0293,0.0057,1.0,0.0114,0.0279,0.0065,0.006,0.0053,14
(((sqrt(abs(neut_pct))) + (sqrt(abs(lym_pct)))) + (log(abs(rdw)+1))) - (mchc),0.5995,0.0292,0.0083,0.8222,0.0164,0.0397,0.0056,0.0078,0.0077,4
(((((((neut_pct) - (hct)) * (log(abs(plt)+1))) / (abs(sqrt(abs(mono_pct)))+1e-6)) + (sqrt(abs(baso_pct)))) + (mcv)) * (sqrt(abs(mch)))) * (wbc),0.5355,0.0285,0.0064,0.5333,0.0127,0.0307,0.0065,0.0067,0.006,8
((((((sqrt(abs(hgb))) - (log(abs(mono_pct)+1))) - ((mchc**2))) / (abs(lym_pct)+1e-6)) * (log(abs(rdw)+1))) / (abs(sqrt(abs(neut_pct)))+1e-6)) + (log(abs(mcv)+1)),0.5239,0.0284,0.0088,0.0444,0.0147,0.0245,0.0065,0.0059,0.0061,7
((((((((((((mchc) * (mono_pct)) * ((mcv**2))) - (wbc)) - (log(abs(rdw)+1))) / (abs((baso_pct**2))+1e-6)) / (abs(eos_pct)+1e-6)) + (log(abs(hct)+1))) + (sqrt(abs(hgb)))) / (abs(mch)+1e-6)) - (sqrt(abs(plt)))) + (sqrt(abs(neut_pct)))) - (log(abs(lym_pct)+1)),0.5534,0.0284,0.0069,0.6,0.0136,0.0329,0.0063,0.0066,0.0061,13
(((((((((sqrt(abs(neut_pct))) - ((mchc**2))) / (abs(sqrt(abs(mono_pct)))+1e-6)) - (log(abs(hgb)+1))) - (sqrt(abs(rbc)))) - (log(abs(lym_pct)+1))) / (abs(baso_pct)+1e-6)) * (log(abs(wbc)+1))) - ((mch**2))) + (eos_pct),0.5269,0.0283,0.0066,0.2667,0.0128,0.03,0.0058,0.0057,0.0061,10
((((((((((neut_pct**2)) - ((rdw**2))) - ((mchc**2))) / (abs(mono_pct)+1e-6)) * ((wbc**2))) / (abs(log(abs(rbc)+1))+1e-6)) * ((mcv**2))) - (log(abs(baso_pct)+1))) - (log(abs(plt)+1))) + (log(abs(hgb)+1)),0.5187,0.0282,0.0055,0.5333,0.0109,0.0265,0.0058,0.006,0.0061,10
((((((((((((sqrt(abs(hct))) - (mch)) / (abs(sqrt(abs(rdw)))+1e-6)) / (abs(sqrt(abs(mchc)))+1e-6)) * (wbc)) * ((hgb**2))) + ((lym_pct**2))) / (abs(mono_pct)+1e-6)) / (abs(log(abs(neut_pct)+1))+1e-6)) + ((eos_pct**2))) + ((mcv**2))) + (sqrt(abs(rbc)))) - (log(abs(baso_pct)+1)),0.5267,0.0281,0.0057,1.0,0.0112,0.0276,0.0054,0.0057,0.0064,13
(((((((((((((wbc**2)) + (log(abs(rbc)+1))) + (sqrt(abs(neut_pct)))) / (abs(mono_pct)+1e-6)) + (sqrt(abs(hct)))) * (rdw)) + (sqrt(abs(eos_pct)))) * (log(abs(mcv)+1))) / (abs(sqrt(abs(plt)))+1e-6)) * (log(abs(mch)+1))) - (log(abs(mchc)+1))) / (abs((baso_pct**2))+1e-6)) * ((hgb**2)),0.5027,0.0279,0.0061,0.9556,0.0122,0.0299,0.0058,0.005,0.0056,13
