formula,auc_roc,auc_pr,precision,recall,f1,f2,precision_at_recall_25,precision_at_recall_50,precision_at_recall_75,num_features
(((((mchc) * (mch)) * (log(abs(plt)+1))) / (abs(mcv)+1e-6)) + (rdw)) - (log(abs(hct)+1)),0.5871,0.0154,0.0082,0.5123,0.0161,0.0385,0.0103,0.0077,0.0062,6
(((sqrt(abs(rdw))) * ((rbc**2))) - (mch)) / (abs(mchc)+1e-6),0.5316,0.0151,0.0057,0.4074,0.0113,0.0272,0.0057,0.0063,0.006,4
(((((((sqrt(abs(rdw))) + (wbc)) / (abs((hgb**2))+1e-6)) * (log(abs(plt)+1))) - (sqrt(abs(mcv)))) / (abs(sqrt(abs(rbc)))+1e-6)) + (log(abs(hct)+1))) - (sqrt(abs(mch))),0.5233,0.0151,0.0056,0.4444,0.011,0.0266,0.0062,0.0056,0.0057,8
(((hct) + (log(abs(mchc)+1))) * (mcv)) / (abs((rbc**2))+1e-6),0.5095,0.0149,0.0056,0.4259,0.011,0.0264,0.0056,0.0057,0.0057,4
(((((log(abs(mchc)+1)) * ((mch**2))) * (log(abs(hct)+1))) - (sqrt(abs(mcv)))) / (abs((rbc**2))+1e-6)) + (hgb),0.5358,0.0148,0.0056,0.3704,0.011,0.0263,0.0063,0.0063,0.0058,6
((((((((log(abs(plt)+1)) / (abs(sqrt(abs(hgb)))+1e-6)) / (abs(sqrt(abs(hct)))+1e-6)) / (abs(sqrt(abs(mchc)))+1e-6)) * (log(abs(rdw)+1))) - ((mch**2))) + (wbc)) * (mcv)) / (abs((rbc**2))+1e-6),0.5265,0.0146,0.0055,0.4074,0.0108,0.026,0.0058,0.006,0.0058,9
((((((mcv**2)) / (abs((rbc**2))+1e-6)) + (sqrt(abs(plt)))) + (sqrt(abs(wbc)))) * (mchc)) * (sqrt(abs(mch))),0.5267,0.0146,0.006,0.5062,0.0119,0.0288,0.0059,0.006,0.0059,6
((log(abs(hgb)+1)) - (rbc)) / (abs((mchc**2))+1e-6),0.5554,0.0145,0.0066,0.5062,0.0129,0.0312,0.0068,0.0066,0.0062,3
((((mchc**2)) / (abs((rbc**2))+1e-6)) * (mcv)) * (mch),0.5453,0.0145,0.0063,0.4321,0.0123,0.0296,0.0065,0.0065,0.0059,4
(((((mchc**2)) * (log(abs(plt)+1))) + (mch)) + (sqrt(abs(wbc)))) + (sqrt(abs(mcv))),0.5693,0.0145,0.0082,0.358,0.016,0.0374,0.009,0.0072,0.006,5
