formula,auc_roc,auc_pr,precision,recall,f1,f2,precision_at_recall_25,precision_at_recall_50,precision_at_recall_75,num_features
((((((((log(abs(hct)+1)) * (mchc)) - ((mcv**2))) * (sqrt(abs(hgb)))) - (log(abs(mch)+1))) - (rbc)) - (log(abs(wbc)+1))) / (abs(plt)+1e-6)) - ((rdw**2)),0.6167,0.02,0.0188,0.3656,0.0357,0.0779,0.0188,0.016,0.0128,9
((((((((sqrt(abs(mcv))) * (log(abs(mch)+1))) / (abs(sqrt(abs(hgb)))+1e-6)) * (rbc)) + (log(abs(wbc)+1))) / (abs(plt)+1e-6)) * ((rdw**2))) * (hct)) / (abs((mchc**2))+1e-6),0.6451,0.0199,0.018,0.5469,0.0348,0.0794,0.0239,0.0183,0.0136,9
((((((mchc**2)) / (abs(sqrt(abs(hct)))+1e-6)) - ((rdw**2))) * ((plt**2))) - (sqrt(abs(mcv)))) + (rbc),0.5823,0.0195,0.0193,0.35,0.0365,0.079,0.021,0.0135,0.0118,6
((((sqrt(abs(plt))) * (sqrt(abs(mchc)))) / (abs(sqrt(abs(mcv)))+1e-6)) / (abs((rdw**2))+1e-6)) / (abs(rbc)+1e-6),0.6242,0.0194,0.0168,0.5375,0.0325,0.0745,0.0201,0.0164,0.013,5
((((((log(abs(wbc)+1)) / (abs(sqrt(abs(rbc)))+1e-6)) / (abs(mch)+1e-6)) - (log(abs(plt)+1))) + (sqrt(abs(rdw)))) * ((mchc**2))) / (abs(hgb)+1e-6),0.644,0.0193,0.0183,0.5687,0.0354,0.0809,0.0242,0.0181,0.0137,7
((((rdw) + (hct)) + (sqrt(abs(wbc)))) / (abs(log(abs(plt)+1))+1e-6)) - (sqrt(abs(hgb))),0.6445,0.0193,0.0167,0.6219,0.0326,0.0755,0.022,0.0179,0.0145,5
((((((mchc) + (log(abs(mch)+1))) * (sqrt(abs(plt)))) - (log(abs(hct)+1))) / (abs(log(abs(mcv)+1))+1e-6)) / (abs(rdw)+1e-6)) / (abs(log(abs(hgb)+1))+1e-6),0.6306,0.019,0.0185,0.4688,0.0355,0.0798,0.0214,0.0176,0.013,7
(log(abs(plt)+1)) * (mchc),0.6432,0.0189,0.0174,0.6,0.0339,0.0781,0.02,0.0186,0.0144,2
(mchc) * (log(abs(plt)+1)),0.6432,0.0189,0.0174,0.6,0.0339,0.0781,0.02,0.0186,0.0144,2
((((mchc**2)) / (abs(log(abs(mch)+1))+1e-6)) * (log(abs(plt)+1))) / (abs(sqrt(abs(hct)))+1e-6),0.656,0.0189,0.0179,0.6062,0.0348,0.0802,0.0235,0.0188,0.0151,4
