formula,auc_roc,auc_pr,precision,recall,f1,f2,precision_at_recall_25,precision_at_recall_50,precision_at_recall_75,num_features
(((((((((((((log(abs(wbc)+1)) + (neut_pct)) - (log(abs(mcv)+1))) * (log(abs(eos_pct)+1))) + (log(abs(lym_pct)+1))) - (hct)) * ((rdw**2))) * ((mchc**2))) + (log(abs(mch)+1))) + (sqrt(abs(rbc)))) / (abs(sqrt(abs(mono_pct)))+1e-6)) * ((hgb**2))) + ((baso_pct**2))) - (sqrt(abs(plt))),0.6422,0.157,0.1456,0.6687,0.2392,0.3891,0.1813,0.159,0.1375,14
((((((((log(abs(hgb)+1)) * ((rbc**2))) + (eos_pct)) - ((mono_pct**2))) * (mchc)) * (mcv)) / (abs((hct**2))+1e-6)) + (log(abs(wbc)+1))) + ((rdw**2)),0.6527,0.1541,0.1523,0.6552,0.2471,0.3945,0.1712,0.1634,0.1425,9
(((((((((((((sqrt(abs(neut_pct))) * (log(abs(mcv)+1))) + ((mono_pct**2))) - (eos_pct)) - ((hgb**2))) - (sqrt(abs(lym_pct)))) / (abs(sqrt(abs(mch)))+1e-6)) * (log(abs(plt)+1))) * (wbc)) / (abs(rbc)+1e-6)) + (sqrt(abs(hct)))) - ((mchc**2))) * (rdw)) - (sqrt(abs(baso_pct))),0.6569,0.1533,0.1454,0.7574,0.2439,0.4112,0.1694,0.1679,0.1447,14
(((((((((((((baso_pct) + (neut_pct)) * ((rdw**2))) / (abs((mono_pct**2))+1e-6)) / (abs(log(abs(hgb)+1))+1e-6)) - (mcv)) / (abs(log(abs(wbc)+1))+1e-6)) * (mchc)) * (log(abs(lym_pct)+1))) * (log(abs(plt)+1))) * ((eos_pct**2))) + (sqrt(abs(hct)))) / (abs(rbc)+1e-6)) * (sqrt(abs(mch))),0.647,0.1532,0.1529,0.75,0.2541,0.4212,0.1661,0.1602,0.1454,14
((((((((((((((mono_pct**2)) / (abs(log(abs(baso_pct)+1))+1e-6)) / (abs(sqrt(abs(rbc)))+1e-6)) * (sqrt(abs(plt)))) + (sqrt(abs(mch)))) * (sqrt(abs(hgb)))) + (sqrt(abs(wbc)))) + ((hct**2))) - (mchc)) + (neut_pct)) + (sqrt(abs(eos_pct)))) - (sqrt(abs(lym_pct)))) / (abs((rdw**2))+1e-6)) + (mcv),0.6352,0.153,0.1373,0.7549,0.2323,0.3974,0.1663,0.1518,0.1372,14
((((((sqrt(abs(neut_pct))) + (sqrt(abs(hct)))) + (log(abs(rbc)+1))) + (sqrt(abs(hgb)))) - (mono_pct)) / (abs(log(abs(mch)+1))+1e-6)) + (sqrt(abs(eos_pct))),0.6404,0.1523,0.1478,0.6675,0.2421,0.392,0.1664,0.15,0.1426,7
(((((((log(abs(neut_pct)+1)) * ((hgb**2))) + ((hct**2))) - (mch)) / (abs((mchc**2))+1e-6)) + (mono_pct)) + (mcv)) - (sqrt(abs(rdw))),0.6193,0.1518,0.1394,0.6404,0.2289,0.3725,0.172,0.1463,0.1296,8
((((((((((((log(abs(hct)+1)) + ((baso_pct**2))) / (abs(log(abs(mch)+1))+1e-6)) * (log(abs(wbc)+1))) * (sqrt(abs(mchc)))) + (sqrt(abs(rbc)))) / (abs(sqrt(abs(eos_pct)))+1e-6)) - (sqrt(abs(mcv)))) - (log(abs(plt)+1))) + ((mono_pct**2))) - (sqrt(abs(lym_pct)))) + (hgb)) / (abs(rdw)+1e-6),0.6361,0.1504,0.152,0.6736,0.2481,0.3995,0.1669,0.1599,0.1459,13
((((((((((((sqrt(abs(baso_pct))) / (abs((eos_pct**2))+1e-6)) / (abs(sqrt(abs(wbc)))+1e-6)) * (log(abs(rbc)+1))) / (abs(plt)+1e-6)) / (abs(sqrt(abs(hct)))+1e-6)) + ((mono_pct**2))) - (sqrt(abs(neut_pct)))) / (abs(log(abs(rdw)+1))+1e-6)) / (abs(log(abs(lym_pct)+1))+1e-6)) * (log(abs(mcv)+1))) - (log(abs(hgb)+1))) / (abs((mch**2))+1e-6),0.6477,0.1497,0.1457,0.7475,0.2439,0.4094,0.1545,0.1546,0.1455,13
((mono_pct**2)) + (mcv),0.6327,0.1492,0.1412,0.697,0.2348,0.39,0.1595,0.148,0.1384,2
((((((((((((((wbc**2)) + (sqrt(abs(plt)))) - (mcv)) / (abs((hct**2))+1e-6)) + (log(abs(rbc)+1))) - (sqrt(abs(rdw)))) / (abs(sqrt(abs(mch)))+1e-6)) / (abs(sqrt(abs(eos_pct)))+1e-6)) / (abs((hgb**2))+1e-6)) * ((mchc**2))) + (baso_pct)) / (abs(sqrt(abs(lym_pct)))+1e-6)) / (abs(log(abs(neut_pct)+1))+1e-6)) - (mono_pct),0.6363,0.149,0.1489,0.7057,0.2459,0.4037,0.1651,0.1643,0.1448,14
(((((plt) + ((baso_pct**2))) + ((lym_pct**2))) / (abs((hgb**2))+1e-6)) * ((mono_pct**2))) / (abs(sqrt(abs(eos_pct)))+1e-6),0.6312,0.1487,0.15,0.6539,0.244,0.3911,0.1617,0.156,0.1401,6
((((((((((((sqrt(abs(rdw))) / (abs((hgb**2))+1e-6)) / (abs(eos_pct)+1e-6)) + (sqrt(abs(mchc)))) + (sqrt(abs(mch)))) / (abs(sqrt(abs(lym_pct)))+1e-6)) / (abs((wbc**2))+1e-6)) + ((rbc**2))) + (sqrt(abs(baso_pct)))) / (abs(hct)+1e-6)) + (mono_pct)) / (abs(sqrt(abs(plt)))+1e-6)) - (log(abs(neut_pct)+1)),0.6194,0.1485,0.1376,0.7118,0.2306,0.388,0.1624,0.1473,0.134,13
