formula,auc_roc,auc_pr,precision,recall,f1,f2,precision_at_recall_25,precision_at_recall_50,precision_at_recall_75,num_features
((((((((hgb**2)) + (sqrt(abs(rbc)))) - (hct)) - (log(abs(rdw)+1))) * (mchc)) - (sqrt(abs(mch)))) + (log(abs(plt)+1))) * ((wbc**2)),0.6267,0.0183,0.006,0.5229,0.0118,0.0286,0.0088,0.0057,0.0044,8
(((((((wbc**2)) - ((rbc**2))) + (mch)) * (sqrt(abs(mcv)))) - ((mchc**2))) - ((rdw**2))) + (log(abs(hct)+1)),0.5854,0.0169,0.0066,0.4312,0.013,0.0311,0.0093,0.0052,0.0038,7
(((((log(abs(mchc)+1)) - ((rbc**2))) * (wbc)) / (abs(sqrt(abs(hct)))+1e-6)) - (log(abs(mcv)+1))) / (abs((rdw**2))+1e-6),0.6611,0.0166,0.0057,0.578,0.0112,0.0272,0.0076,0.0059,0.0052,6
(((((((log(abs(mchc)+1)) * (log(abs(rbc)+1))) / (abs((hgb**2))+1e-6)) - (log(abs(plt)+1))) - ((mcv**2))) - ((rdw**2))) / (abs(mch)+1e-6)) * (log(abs(hct)+1)),0.5904,0.0166,0.0049,0.5229,0.0097,0.0235,0.0066,0.005,0.0042,8
(((((((hgb) / (abs(sqrt(abs(rbc)))+1e-6)) * ((wbc**2))) - (mcv)) + (mch)) - ((mchc**2))) / (abs(log(abs(hct)+1))+1e-6)) - (sqrt(abs(rdw))),0.5967,0.0165,0.0058,0.5138,0.0115,0.0279,0.0087,0.0058,0.004,8
(((((mcv) / (abs((hgb**2))+1e-6)) + (sqrt(abs(hct)))) * (log(abs(mch)+1))) / (abs(log(abs(rdw)+1))+1e-6)) / (abs(sqrt(abs(mchc)))+1e-6),0.6564,0.0161,0.0053,0.7706,0.0106,0.0259,0.0071,0.0061,0.0051,6
((((((((sqrt(abs(hgb))) / (abs(rdw)+1e-6)) * (log(abs(plt)+1))) + ((rbc**2))) - (log(abs(hct)+1))) * (mcv)) * ((mchc**2))) * (log(abs(wbc)+1))) * ((mch**2)),0.6556,0.0159,0.0055,0.633,0.0109,0.0265,0.0068,0.0061,0.0049,9
((rbc) - (hgb)) + (mchc),0.645,0.0156,0.0055,0.6972,0.0109,0.0267,0.0079,0.0059,0.0047,3
(sqrt(abs(mch))) - (sqrt(abs(mcv))),0.5377,0.0156,0.0045,0.4954,0.009,0.0218,0.005,0.0044,0.0038,2
((((((((sqrt(abs(hct))) + (rdw)) * (log(abs(plt)+1))) - ((hgb**2))) / (abs(sqrt(abs(mcv)))+1e-6)) - ((rbc**2))) - ((wbc**2))) * (log(abs(mch)+1))) + ((mchc**2)),0.5848,0.0156,0.0059,0.4679,0.0117,0.0282,0.008,0.0049,0.004,9
(((((mchc**2)) * (log(abs(mch)+1))) - (log(abs(wbc)+1))) - ((mcv**2))) - (sqrt(abs(rdw))),0.53,0.0156,0.0042,0.367,0.0082,0.0199,0.0045,0.0042,0.0036,5
((((((sqrt(abs(rbc))) / (abs(log(abs(mch)+1))+1e-6)) / (abs((mcv**2))+1e-6)) - (sqrt(abs(hgb)))) - (hct)) / (abs(sqrt(abs(rdw)))+1e-6)) + (mchc),0.6532,0.0155,0.0054,0.7615,0.0107,0.0262,0.0081,0.0057,0.0049,7
(((((((hct**2)) + (rbc)) - ((mchc**2))) + (log(abs(mch)+1))) - (log(abs(plt)+1))) - (log(abs(rdw)+1))) * (log(abs(hgb)+1)),0.6554,0.0155,0.0048,0.8716,0.0095,0.0233,0.0074,0.0058,0.0049,7
