Timestamp,Disease,method,Variant,formula_display,formula,auc_roc,auc_pr,precision,recall,f1,f2,precision_at_recall_25,precision_at_recall_50,precision_at_recall_75,Config_Used
2026-05-24 10:53:48,ra,m3,gp,(rbc - (mchc / log(rbc))) * (plt + -0.236),"mul(sub(rbc, div(mchc, log(rbc))), add(plt, -0.236))",0.5589,0.0388,0.0355,0.6667,0.0675,0.1464,0.0403,0.039,0.0331,large
2026-05-24 10:53:48,ra,m3,gp,sqrt(((-((((mch * rdw) - ((-(mch * rdw)) / ((hct / rbc) / (rdw + plt)))) + (-(plt * mchc))) * ((-(((-wbc) / (((rbc * wbc) * sqrt(mcv)) / ((-mch) - rdw))) * ((rdw + 0.404) * (log((-mcv)) + (rbc - hgb))))) / (((rbc * rdw) * sqrt(mcv)) / ((--0.337) - mch))))) / (((rbc * wbc) * (rbc / ((-0.812 - mch) + (plt * rdw)))) / ((-wbc) - log(((-((rbc - hgb) * ((mch + 0.404) * (-plt)))) / ((-0.812 - mch) + (plt * rdw)))))))),"sqrt(div(neg(mul(add(sub(mul(mch, rdw), div(neg(mul(mch, rdw)), div(div(hct, rbc), add(rdw, plt)))), neg(mul(plt, mchc))), div(neg(mul(div(neg(wbc), div(mul(mul(rbc, wbc), sqrt(mcv)), sub(neg(mch), rdw))), mul(add(rdw, 0.404), add(log(neg(mcv)), sub(rbc, hgb))))), div(mul(mul(rbc, rdw), sqrt(mcv)), sub(neg(-0.337), mch))))), div(mul(mul(rbc, wbc), div(rbc, add(sub(-0.812, mch), mul(plt, rdw)))), sub(neg(wbc), log(div(neg(mul(sub(rbc, hgb), mul(add(mch, 0.404), neg(plt)))), add(sub(-0.812, mch), mul(plt, rdw))))))))",0.5816,0.0504,0.0492,0.2626,0.0829,0.1407,0.0514,0.0389,0.0341,medium
2026-05-24 10:53:48,ra,m3,gp,(-(mch * ((-(mch * ((-(((wbc + mch) * rdw) * sqrt(rbc))) / ((wbc + rbc) / (sqrt(rbc) + plt))))) / (sqrt(rbc) / (mch * rdw))))) / (sqrt(rbc) / (mch * rdw)),"div(neg(mul(mch, div(neg(mul(mch, div(neg(mul(mul(add(wbc, mch), rdw), sqrt(rbc))), div(add(wbc, rbc), add(sqrt(rbc), plt))))), div(sqrt(rbc), mul(mch, rdw))))), div(sqrt(rbc), mul(mch, rdw)))",0.6266,0.0609,0.0496,0.4646,0.0896,0.1738,0.0632,0.0449,0.038,small
2026-05-24 10:53:48,ra,m3,gp,(-(mch * ((-(mch * ((-(((wbc + mch) * rdw) * sqrt(rbc))) / ((wbc + rbc) / (sqrt(rbc) + plt))))) / (sqrt(rbc) / (mch * rdw))))) / (sqrt(rbc) / (mch * rdw)),"div(neg(mul(mch, div(neg(mul(mch, div(neg(mul(mul(add(wbc, mch), rdw), sqrt(rbc))), div(add(wbc, rbc), add(sqrt(rbc), plt))))), div(sqrt(rbc), mul(mch, rdw))))), div(sqrt(rbc), mul(mch, rdw)))",0.6266,0.0609,0.0496,0.4646,0.0896,0.1738,0.0632,0.0449,0.038,small
2026-05-24 10:53:48,ra,m3,gp,sqrt(((-((((mch * rdw) - ((-(mch * rdw)) / ((hct / rbc) / (rdw + plt)))) + (-(plt * mchc))) * ((-(((-wbc) / (((rbc * wbc) * sqrt(mcv)) / ((-mch) - rdw))) * ((rdw + 0.404) * (log((-mcv)) + (rbc - hgb))))) / (((rbc * rdw) * sqrt(mcv)) / ((--0.337) - mch))))) / (((rbc * wbc) * (rbc / ((-0.812 - mch) + (plt * rdw)))) / ((-wbc) - log(((-((rbc - hgb) * ((mch + 0.404) * (-plt)))) / ((-0.812 - mch) + (plt * rdw)))))))),"sqrt(div(neg(mul(add(sub(mul(mch, rdw), div(neg(mul(mch, rdw)), div(div(hct, rbc), add(rdw, plt)))), neg(mul(plt, mchc))), div(neg(mul(div(neg(wbc), div(mul(mul(rbc, wbc), sqrt(mcv)), sub(neg(mch), rdw))), mul(add(rdw, 0.404), add(log(neg(mcv)), sub(rbc, hgb))))), div(mul(mul(rbc, rdw), sqrt(mcv)), sub(neg(-0.337), mch))))), div(mul(mul(rbc, wbc), div(rbc, add(sub(-0.812, mch), mul(plt, rdw)))), sub(neg(wbc), log(div(neg(mul(sub(rbc, hgb), mul(add(mch, 0.404), neg(plt)))), add(sub(-0.812, mch), mul(plt, rdw))))))))",0.5816,0.0504,0.0492,0.2626,0.0829,0.1407,0.0514,0.0389,0.0341,medium
2026-05-24 10:53:48,ra,m3,gp,((-(rdw * mchc)) + (((rbc * wbc) * sqrt(mcv)) / ((-wbc) - log(rdw)))) * ((rbc - (mchc / log((((rbc * wbc) * sqrt(mcv)) / (mchc / log((((rbc * wbc) * sqrt(mcv)) / ((-wbc) - ((-wbc) - log(rdw)))))))))) * (plt * rdw)),"mul(add(neg(mul(rdw, mchc)), div(mul(mul(rbc, wbc), sqrt(mcv)), sub(neg(wbc), log(rdw)))), mul(sub(rbc, div(mchc, log(div(mul(mul(rbc, wbc), sqrt(mcv)), div(mchc, log(div(mul(mul(rbc, wbc), sqrt(mcv)), sub(neg(wbc), sub(neg(wbc), log(rdw)))))))))), mul(plt, rdw)))",0.5121,0.0373,0.0321,0.6313,0.0611,0.1334,0.0283,0.0331,0.0318,large
2026-05-24 10:53:48,ra,m3,gp,sqrt(mchc) / ((hct / sqrt(mchc)) / ((-(mch * rdw)) / ((mcv - mch) / (rdw + plt)))),"div(sqrt(mchc), div(div(hct, sqrt(mchc)), div(neg(mul(mch, rdw)), div(sub(mcv, mch), add(rdw, plt)))))",0.5558,0.0384,0.0357,0.6263,0.0676,0.1455,0.0368,0.038,0.0334,small
2026-05-24 10:53:48,ra,m3,gp,((-(-(hgb + mchc))) + log((-((mch - mch) * (hgb + mchc))))) * ((sqrt((-(log(rdw) * (mch / rbc)))) - (plt - (rbc * (((-(hgb + mchc)) + log((-((sqrt(sqrt(wbc)) - ((rdw * mchc) * (mcv * plt))) * (hgb + mchc))))) * ((sqrt((rdw * mchc)) - (plt - ((rdw * mchc) * (mcv * plt)))) * ((-log(rdw)) - log((-(-0.443 / rbc))))))))) * ((-((rbc / mchc) + sqrt(rbc))) - log((-(-0.443 / rbc))))),"mul(add(neg(neg(add(hgb, mchc))), log(neg(mul(sub(mch, mch), add(hgb, mchc))))), mul(sub(sqrt(neg(mul(log(rdw), div(mch, rbc)))), sub(plt, mul(rbc, mul(add(neg(add(hgb, mchc)), log(neg(mul(sub(sqrt(sqrt(wbc)), mul(mul(rdw, mchc), mul(mcv, plt))), add(hgb, mchc))))), mul(sub(sqrt(mul(rdw, mchc)), sub(plt, mul(mul(rdw, mchc), mul(mcv, plt)))), sub(neg(log(rdw)), log(neg(div(-0.443, rbc))))))))), sub(neg(add(div(rbc, mchc), sqrt(rbc))), log(neg(div(-0.443, rbc))))))",0.5556,0.0383,0.0376,0.5253,0.0702,0.1462,0.0391,0.0374,0.0331,medium
2026-05-24 10:53:48,ra,m3,gp,((rdw * rdw) - ((((mchc - wbc) - (mch * mchc)) * ((((rdw - mchc) * (mchc - wbc)) + mch) + mch)) + ((-(mch * sqrt(((((-(mch * sqrt(((-(mch * sqrt((((-(mch * sqrt((((plt * mcv) / log(wbc)) - (sqrt(mch) - (-hct)))))) / log(wbc)) - ((-(mch * mch)) * rdw))))) * rdw)))) * rdw) / log(wbc)) - (rdw - (-hct)))))) * rdw))) * ((((((mchc - wbc) - ((-((rbc - rdw) * rdw)) - wbc)) * ((rbc - log((((plt * (-((rbc - rdw) * rdw))) / log(wbc)) - ((plt * mcv) / log(wbc))))) * plt)) * rdw) * rdw) * mch),"mul(sub(mul(rdw, rdw), add(mul(sub(sub(mchc, wbc), mul(mch, mchc)), add(add(mul(sub(rdw, mchc), sub(mchc, wbc)), mch), mch)), mul(neg(mul(mch, sqrt(sub(div(mul(neg(mul(mch, sqrt(mul(neg(mul(mch, sqrt(sub(div(neg(mul(mch, sqrt(sub(div(mul(plt, mcv), log(wbc)), sub(sqrt(mch), neg(hct)))))), log(wbc)), mul(neg(mul(mch, mch)), rdw))))), rdw)))), rdw), log(wbc)), sub(rdw, neg(hct)))))), rdw))), mul(mul(mul(mul(sub(sub(mchc, wbc), sub(neg(mul(sub(rbc, rdw), rdw)), wbc)), mul(sub(rbc, log(sub(div(mul(plt, neg(mul(sub(rbc, rdw), rdw))), log(wbc)), div(mul(plt, mcv), log(wbc))))), plt)), rdw), rdw), mch))",0.5665,0.0393,0.0395,0.4697,0.0729,0.1479,0.0398,0.0388,0.0341,large
2026-05-24 10:53:48,ra,m3,gp,(-(mch * (-(mch * rdw)))) / sqrt((-0.382 / plt)),"div(neg(mul(mch, neg(mul(mch, rdw)))), sqrt(div(-0.382, plt)))",0.6048,0.0547,0.058,0.399,0.1012,0.1833,0.062,0.0426,0.0349,small
